# ボーナスストアPlus 参加履歴（自社設定還元率）
# 2026-03 以前の記録は残っていないため、非参加として扱う。
date,store_rate
2026-03-03,0.05
2026-03-04,0.05
2026-03-05,0.05
2026-03-08,0.05
2026-03-11,0.05
2026-03-21,0.05
2026-03-22,0.05
2026-03-23,0.05
2026-04-09,0.05
2026-04-11,0.05
2026-04-12,0.05
2026-04-15,0.05
2026-04-17,0.05
2026-04-18,0.05
2026-04-19,0.05
2026-05-09,0.05
2026-05-10,0.05
2026-05-11,0.05
2026-05-13,0.05
2026-05-30,0.05
2026-05-31,0.05
2026-06-01,0.05
2026-06-07,0.05
2026-06-08,0.05
2026-06-19,0.05
2026-06-20,0.05
2026-06-21,0.05
2026-06-27,0.05
2026-06-28,0.05
2026-06-29,0.05
2026-06-30,0.05
2026-07-10,0.05
2026-07-11,0.05
2026-07-12,0.05
2026-07-19,0.05
2026-07-20,0.05
2026-07-22,0.05
2026-07-23,0.05
2026-07-31,0.05
2026-08-01,0.05
2026-08-02,0.05
2026-08-18,0.05
2026-08-19,0.05
2026-08-21,0.05
2026-08-22,0.05
2026-08-23,0.05
2026-09-11,0.04
2026-09-12,0.04
2026-09-13,0.04
