日付,売上合計値,注文数 - 注文数合計,注文数 - 注文点数合計,注文数 - 注文者数合計,優良配送 - 売上合計値,優良配送 - 売上シェア率,優良配送 - 注文数合計,優良配送 - 注文数シェア率,翌日優良配送 - 注文数合計,翌日優良配送 - 注文数シェア率,平均購買率,平均客単価,ページビュー,セッション合計,訪問者数,平均滞在時間,平均回遊ページ数,PC売上（税込）,PCページビュー,スマホWeb売上（税込）,スマホWebページビュー,アプリ売上（税込）,アプリページビュー
2026/9/15,221019,43,47,42,190470,86.18,33,76.74,18,41.86,15.16,5262,734,315,277,134,2.65,41118,54,12641,48,167260,632
2026/9/14,62759,18,18,18,53937,85.94,13,72.22,7,38.889,8.78,3487,455,228,205,139,2.22,5980,30,5362,44,51417,381
2026/9/13,642098,115,127,115,468398,72.95,64,55.65,13,11.304,20.46,5583,1616,644,562,148,2.88,52510,68,38743,152,550845,1396
2026/9/12,285931,58,63,57,206508,72.22,38,65.52,10,17.241,14.07,5016,992,460,405,120,2.45,33180,41,14790,80,237961,871
2026/9/11,472092,67,74,67,383392,81.21,45,67.16,21,31.343,15.88,7046,1117,502,422,136,2.65,46200,93,48031,97,377861,927
2026/9/10,45111,9,11,9,38671,85.72,6,66.67,0,0,5.03,5012,397,201,179,99,2.22,1591,24,2680,39,40840,334
2026/9/9,102921,17,17,17,82500,80.16,8,47.06,2,11.765,9.88,6054,336,185,172,105,1.95,1780,33,31751,35,69390,268
2026/9/8,60259,18,20,18,41718,69.23,7,38.89,3,16.667,10.23,3348,461,197,176,183,2.62,0,68,6162,40,54097,353
2026/9/7,129659,24,28,24,93918,72.44,8,33.33,4,16.667,16.44,5402,323,159,146,149,2.21,1780,20,19600,38,108279,265
2026/9/6,175578,33,35,33,121180,69.02,14,42.42,0,0,10.71,5321,826,361,308,142,2.68,21580,35,7220,72,146778,719
2026/9/5,208668,56,63,55,0,0,0,0,0,0,15.63,3794,1019,403,352,157,2.9,6240,49,29040,114,173388,856
2026/9/4,40563,12,13,12,0,0,0,0,0,0,7.36,3380,287,176,163,119,1.76,6040,58,3382,25,31141,204
2026/9/3,66393,17,27,16,12240,18.44,3,17.65,0,0,10.67,4150,277,167,150,95,1.85,17500,25,6162,23,42731,229
2026/9/2,57491,15,17,15,33720,58.65,7,46.67,4,26.667,10.07,3833,374,168,149,212,2.51,0,28,5270,36,52221,310
2026/9/1,123180,23,25,23,80350,65.23,7,30.43,2,8.696,12.5,5356,380,198,184,85,2.06,1691,24,41528,53,79961,303
2026/8/31,86683,17,19,17,60120,69.36,6,35.29,3,17.647,9.44,5099,393,204,180,133,2.18,3260,28,8633,43,74790,322
2026/8/30,230110,43,54,42,122470,53.22,15,34.88,0,0,14.79,5479,735,315,284,141,2.59,5251,24,14900,67,209959,644
2026/8/29,36323,17,17,17,0,0,0,0,0,0,10.24,2137,364,185,166,166,2.19,0,14,17614,54,18709,296
2026/8/28,26838,9,11,9,0,0,0,0,0,0,5.56,2982,350,181,162,117,2.16,0,38,14210,54,12628,258
2026/8/27,77251,19,21,19,49650,64.27,9,47.37,3,15.789,9.36,4066,444,228,203,152,2.19,9860,74,3471,54,63920,316
2026/8/26,42010,13,13,13,21210,56.82,3,25,2,16.667,6.28,3232,473,232,207,148,2.29,0,31,1780,43,40230,399
2026/8/25,245518,44,53,44,151619,64.78,19,45.24,4,9.524,14.91,5580,766,335,295,126,2.6,21730,69,22340,77,201448,620
2026/8/24,9321,6,6,6,0,0,0,0,0,0,2.87,1554,493,239,209,127,2.36,900,36,1691,62,6730,395
2026/8/23,382740,50,57,49,278480,73.68,26,53.06,0,0,15.27,7811,862,372,321,163,2.69,13360,41,53980,98,315400,723
2026/8/22,199890,36,41,36,0,0,0,0,0,0,12.08,5552,816,350,298,164,2.74,10950,55,10500,112,178440,649
2026/8/21,90980,15,18,15,24800,27.26,5,33.33,5,33.333,8.43,6065,417,199,178,122,2.34,0,27,11810,52,79170,338
2026/8/20,21010,9,9,9,3480,16.56,1,11.11,0,0,4.89,2334,378,200,184,101,2.05,0,34,1780,55,19230,289
2026/8/19,163391,25,28,24,136930,83.81,13,52,7,28,9.6,6808,519,273,250,112,2.08,5980,66,10041,66,147370,387
2026/8/18,101599,25,27,25,77779,76.56,12,48,6,24,12.38,4064,466,228,202,118,2.31,15331,52,13591,48,72677,366
2026/8/17,65049,16,17,16,35038,53.86,6,37.5,3,18.75,9.7,4066,373,180,165,124,2.26,0,23,5251,50,59798,300
2026/8/16,376838,48,62,48,313988,83.32,23,47.92,0,0,14.68,7851,931,382,327,180,2.85,1780,22,68731,73,306327,836
2026/8/15,297398,53,65,53,0,0,0,0,0,0,18.4,5611,763,328,288,178,2.65,51501,41,10721,58,235176,664
2026/8/14,67011,12,12,12,0,0,0,0,0,0,6.78,5584,368,187,177,126,2.08,0,14,7671,49,59340,305
2026/8/13,36992,8,9,8,0,0,0,0,0,0,4.88,4624,361,171,164,137,2.2,0,13,24581,46,12411,302
2026/8/12,45882,18,18,18,2680,5.84,1,5.56,1,5.556,9.52,2549,453,210,189,130,2.4,0,22,12502,40,33380,391
2026/8/11,170318,38,44,38,106010,62.24,13,34.21,0,0,15.77,4482,637,270,241,189,2.64,34320,27,6940,69,129058,541
2026/8/10,75716,15,18,15,6960,9.56,2,14.29,2,14.286,9.93,5048,333,159,151,142,2.21,4696,32,1880,25,69140,276
2026/8/9,385057,52,55,52,285130,74.61,26,52,0,0,18.84,7405,789,324,276,158,2.86,1980,34,38331,84,344746,671
2026/8/8,51030,9,9,9,0,0,0,0,0,0,5.26,5670,400,189,171,154,2.34,1780,18,19400,43,29850,339
2026/8/7,85412,16,21,16,34249,40.1,4,25,4,25,10.96,5338,283,162,146,96,1.94,3382,20,0,31,82030,232
2026/8/6,42441,11,12,11,15340,36.14,3,27.27,2,18.182,6.43,3858,354,188,171,79,2.07,8660,23,6661,40,27120,291
2026/8/5,306640,50,54,50,231480,75.49,27,54,15,30,16.29,6133,831,360,307,173,2.71,7260,30,42751,75,256629,726
2026/8/4,115582,15,16,15,103100,89.2,9,60,4,26.667,7.81,7705,423,213,192,141,2.2,3560,25,26162,54,85860,344
2026/8/3,53842,16,18,16,36000,66.86,6,37.5,2,12.5,7.88,3365,441,220,203,115,2.17,1680,35,5672,46,46490,360
2026/8/2,429440,66,73,65,323810,75.4,28,42.42,0,0,13.54,6607,1317,538,480,142,2.74,21191,58,36001,134,372248,1125
2026/8/1,283862,54,61,53,0,0,0,0,0,0,14.93,5356,921,397,355,147,2.59,23311,38,17940,108,242611,775
2026/7/31,296798,56,62,55,76380,25.73,9,16.07,9,16.071,17.63,5396,845,356,312,182,2.71,22679,57,14711,95,259408,693
2026/7/30,82221,15,15,15,62660,76.21,8,53.33,3,20,7.85,5481,383,213,191,134,2,9650,35,3371,35,69200,313
2026/7/29,95220,23,26,22,52628,55.27,9,39.13,5,21.739,11.52,4328,441,217,191,118,2.31,0,20,42541,81,52679,340
2026/7/28,69651,10,10,10,54540,78.31,5,50,2,20,4.7,6965,439,230,213,155,2.06,1680,35,21491,55,46480,349
2026/7/27,69999,17,18,16,21829,31.18,4,23.53,2,11.765,7.73,4375,464,228,207,110,2.24,1800,31,12369,46,55830,387
2026/7/26,297266,37,47,37,237457,79.88,19,51.35,0,0,11.35,8034,776,383,326,121,2.38,31540,38,24560,101,241166,637
2026/7/25,197868,37,45,37,0,0,0,0,0,0,11.67,5348,801,362,317,168,2.53,45360,45,40080,102,112428,654
2026/7/24,65321,13,15,13,8560,13.11,2,15.38,2,15.385,5.96,5025,490,241,218,141,2.25,2680,50,3471,67,59170,373
2026/7/23,128439,16,20,16,104090,81.04,10,62.5,5,31.25,7.31,8027,498,233,219,118,2.27,3271,33,5980,47,119188,418
2026/7/22,274002,36,44,35,186610,68.11,17,47.22,8,22.222,16.36,7829,547,243,214,154,2.56,1880,45,19382,73,252740,429
2026/7/21,62227,12,14,12,48160,77.39,8,66.67,5,41.667,8.11,5186,304,164,148,125,2.05,900,36,9460,40,51867,228
2026/7/20,113188,22,26,22,71450,63.13,8,36.36,0,0,10.23,5145,497,235,215,124,2.31,2680,34,9760,54,100748,409
2026/7/19,282676,38,46,36,0,0,0,0,0,0,14.06,7852,671,276,256,168,2.62,0,19,27530,46,255146,606
2026/7/18,20161,6,7,6,0,0,0,0,0,0,4.65,3360,294,139,129,133,2.28,0,15,5251,45,14910,234
2026/7/17,17860,5,6,5,0,0,0,0,0,0,4.24,3572,276,127,118,174,2.34,4970,30,0,23,12890,223
2026/7/16,33011,10,11,10,21140,64.04,4,40,1,10,6.9,3301,283,154,145,109,1.95,0,25,1691,37,31320,221
2026/7/15,223210,36,40,36,172249,77.17,20,55.56,6,16.667,14.01,6200,625,301,257,129,2.43,6140,24,15551,67,201519,534
2026/7/14,52282,10,10,10,37010,70.79,3,30,2,20,6.9,5228,258,151,145,127,1.78,4870,23,3382,24,44030,211
2026/7/13,79088,19,20,19,49900,63.09,6,31.58,2,10.526,9.9,4163,433,210,192,141,2.25,19300,25,12842,49,46946,359
2026/7/12,572426,101,112,101,410618,71.73,46,45.55,0,0,17.94,5668,1612,654,563,178,2.86,26408,64,71241,132,474777,1416
2026/7/11,328270,53,66,52,0,0,0,0,0,0,12.5,6313,1146,487,416,163,2.75,13040,30,81540,138,233690,978
2026/7/10,497590,72,89,71,233299,46.89,27,37.5,27,37.5,19.24,7008,1079,442,369,158,2.92,35130,60,45180,129,417280,890
2026/7/9,49751,9,12,9,39530,79.46,5,55.56,2,22.222,5.46,5528,368,184,165,135,2.23,0,60,1691,33,48060,275
2026/7/8,40122,11,15,11,16660,41.52,2,18.18,1,9.091,6.14,3647,462,203,179,161,2.58,8480,26,15642,75,16000,361
2026/7/7,30120,9,9,9,20320,67.46,4,44.44,0,0,5.73,3347,339,178,157,121,2.16,8180,41,1780,33,20160,265
2026/7/6,42580,7,7,7,37140,87.22,4,57.14,1,14.286,5.22,6083,265,143,134,132,1.98,0,17,0,35,42580,213
2026/7/5,246846,58,66,58,137030,55.51,21,36.21,0,0,16.62,4256,1041,418,349,173,2.98,11410,49,35020,107,200416,885
2026/7/4,40262,6,9,6,0,0,0,0,0,0,4.88,6710,266,130,123,130,2.16,0,11,3382,21,36880,234
2026/7/3,50233,11,11,11,0,0,0,0,0,0,8.4,4567,300,150,131,136,2.29,0,7,3382,38,46851,255
2026/7/2,106374,19,20,19,77760,73.1,8,42.1,5,26.316,15.32,5599,307,141,124,135,2.48,1780,19,31034,67,73560,221
2026/7/1,54912,16,17,16,33170,60.41,7,43.75,2,12.5,10.81,3432,305,161,148,156,2.06,1691,11,2680,36,50541,258
2026/6/30,98422,22,24,22,74320,75.51,12,54.55,6,27.273,11.4,4474,463,222,193,103,2.4,4970,30,14792,59,78660,374
2026/6/29,59150,13,15,13,32920,55.66,5,38.46,0,0,7.22,4550,459,209,180,163,2.55,6750,26,0,69,52400,364
2026/6/28,312249,48,56,47,244898,78.43,25,52.08,0,0,15.82,6644,776,329,297,132,2.61,42040,58,31791,69,238418,649
2026/6/27,104661,20,20,18,0,0,0,0,0,0,9.47,5814,489,220,190,190,2.57,5460,24,3471,53,95730,412
2026/6/26,29282,10,11,10,7650,26.13,1,10,1,10,7.87,2928,303,147,127,201,2.39,0,12,10132,50,19150,241
2026/6/25,139118,24,28,23,44060,31.67,6,25,2,8.333,10,6049,546,276,230,154,2.37,8450,26,4970,58,125698,462
2026/6/24,60271,16,19,16,47000,81.75,10,66.67,5,33.333,12.4,3767,337,154,129,180,2.61,8571,16,3460,37,48240,284
2026/6/23,52901,12,14,12,31260,59.09,5,41.67,1,8.333,9.09,4408,361,150,132,196,2.73,0,29,9351,23,43550,309
2026/6/22,94308,21,27,21,57520,68.02,9,45,2,10,10.99,4491,458,210,191,160,2.4,5980,48,7571,47,80757,363
2026/6/21,368427,64,76,63,213880,60.48,21,38.18,0,0,21.07,5848,894,342,299,180,2.99,17421,57,15410,70,335596,767
2026/6/20,150771,22,27,21,0,0,0,0,0,0,12.35,7180,443,192,170,175,2.61,0,17,25981,51,124790,375
2026/6/19,101429,21,27,21,11680,19.24,1,7.14,1,7.143,12.28,4830,446,197,171,184,2.61,1691,11,8630,80,91108,355
2026/6/18,44950,7,12,7,12540,48.89,2,33.33,0,0,5.38,6421,298,149,130,216,2.29,0,22,0,45,44950,231
2026/6/17,22330,8,8,8,2680,16.39,1,14.29,1,14.286,5.8,2791,322,155,138,171,2.33,1780,21,5980,44,14570,257
2026/6/16,3471,2,2,2,0,0,0,0,0,0,1.61,1736,219,133,124,121,1.77,0,12,1691,30,1780,177
