日付,売上合計値,前年比,注文数 - 注文数合計,前年比,注文数 - 注文点数合計,前年比,注文数 - 注文者数合計,前年比,優良配送 - 売上合計値,前年比,優良配送 - 売上シェア率,前年比,優良配送 - 注文数合計,前年比,優良配送 - 注文数シェア率,前年比,翌日優良配送 - 注文数合計,前年比,翌日優良配送 - 注文数シェア率,前年比,平均購買率,前年比,平均客単価,前年比,ページビュー,前年比,セッション合計,前年比,訪問者数,前年比,平均滞在時間,前年比,平均回遊ページ数,前年比,PC売上（税込）,PCページビュー,スマホWeb売上（税込）,スマホWebページビュー,アプリ売上（税込）,アプリページビュー
2026-09,2472703,225.263,482,200.833,538,191.459,468,199.149,1616532,327.757,65.38,144.866,220,301.370,45.64,149.434,66,200.000,13.693,99.167,16.40,167.661,5284,113.124,8860,148.733,4039,128.426,2853,118.776,171,105.522,3.11,125.242,196072,596,259721,848,2016910,7416
2026-08,4602174,153.497,825,130.745,938,126.075,797,130.016,2420323,161.516,52.90,105.213,257,135.263,31.42,102.851,63,112.500,7.702,85.549,14.49,133.968,5774,118.054,17454,122.184,7988,106.280,5499,97.053,185,110.427,3.17,125.902,251723,1064,517536,1910,3832915,14480
2026-07,4519974,126.360,790,130.795,915,130.156,757,129.181,2210190,124.242,49.02,96.398,256,134.031,32.45,98.527,90,140.625,11.407,103.380,14.43,121.225,5971,97.821,16815,117.703,7738,102.708,5247,106.560,193,96.575,3.21,110.479,265519,1015,565995,1931,3688460,13869
2026-06,3469996,112.828,652,132.520,760,131.944,616,132.473,1847157,102.447,55.88,89.958,229,130.114,36.70,99.671,71,191.892,11.452,147.940,15.17,110.640,5633,85.168,13606,135.775,6117,112.239,4060,119.729,208,98.923,3.35,113.401,266135,751,430925,1490,2772936,11365
2026-05,2743664,129.730,547,123.756,622,118.251,532,123.148,1147196,193.682,41.81,128.862,141,162.069,25.78,126.513,39,162.500,7.13,126.846,15.07,122.831,5157,105.331,10760,99.097,5160,87.089,3529,100.256,178,74.959,3.05,98.833,217904,727,288809,1268,2236951,8765
2026-04,2218923,115.045,478,137.356,547,128.404,460,135.693,1108273,103.645,50.02,90.089,142,124.561,29.77,90.092,39,97.500,8.193,70.666,14.57,129.971,4824,84.780,9657,107.348,4606,92.863,3156,104.400,177,79.379,3.06,102.823,141843,769,287694,1104,1789386,7784
2026-03,2786818,99.448,547,118.398,630,104.305,530,119.639,1383015,93.916,49.63,94.438,179,122.603,32.72,103.550,49,153.125,8.958,129.339,13.68,109.758,5258,83.117,11823,108.777,5723,95.991,3875,109.001,172,83.496,3.05,99.804,181385,756,336851,1312,2268582,9755
2026-02,2597420,95.246,520,129.353,604,120.800,504,129.563,1147264,76.132,44.17,79.932,142,120.339,27.31,93.033,35,145.833,6.731,112.747,11.40,93.101,5154,73.524,12178,134.356,6054,121.909,4420,139.169,152,86.432,2.75,96.531,236227,950,310098,1473,2051095,9755
2026-01,3264981,146.462,664,180.926,760,176.334,638,180.226,1512198,159.239,46.34,108.777,186,218.824,28.05,121.126,67,257.692,10.106,142.660,12.91,105.958,5118,81.277,13796,157.615,6863,147.022,4941,170.086,162,84.305,2.79,92.665,158766,895,392342,1329,2713873,11572
2025-12,2835639,117.977,591,122.614,683,118.990,576,122.293,1294196,128.266,45.64,108.721,160,126.984,27.07,103.565,57,178.125,9.645,145.278,11.73,82.144,4923,96.473,12740,142.251,6583,132.615,4910,148.878,150,90.339,2.60,95.545,357360,971,448775,1514,2029504,10255
2025-11,2860322,128.489,603,136.735,704,138.310,591,137.762,1140644,119.520,39.88,93.019,127,96.212,21.06,70.363,45,81.818,7.463,59.838,11.84,98.152,4840,93.274,12789,131.710,6727,122.912,4991,140.354,148,84.562,2.56,93.812,235390,1045,317914,1394,2307018,10350
2025-10,2438432,106.213,525,120.413,590,118.952,508,118.140,1208906,113.980,49.67,107.524,152,116.031,29.01,96.545,50,125.000,9.579,104.415,10.13,107.446,4800,89.904,12352,101.445,6719,97.377,5015,109.954,147,85.083,2.46,92.247,325049,1061,300642,1784,1812741,9507
2025-09,2616047,91.246,578,110.728,681,109.135,560,113.590,1249736,157.449,47.86,172.870,170,157.407,29.46,142.402,58,252.174,10.069,228.529,11.01,109.868,4672,80.344,13153,91.239,6909,90.634,5086,103.395,159,83.624,2.59,88.229,339728,1111,404881,1535,1871438,10507
