date,orders,gmv,entered,bonus_rate,events
2025-09-01,44,806259,0,,
2025-09-02,48,863619,1,0.04,
2025-09-03,52,1071538,0,,
2025-09-04,51,1016002,0,,
2025-09-05,96,2013363,1,0.02,
2025-09-06,49,991459,0,,
2025-09-07,89,1825286,1,0.03,プレミアムな日曜日
2025-09-08,67,1338445,1,0.04,Yahoo!ショッピング感謝デー
2025-09-09,53,1133494,1,0.04,
2025-09-10,40,739564,0,,
2025-09-11,56,1167779,1,0.03,
2025-09-12,42,863389,0,,
2025-09-13,48,873372,0,,
2025-09-14,53,1060427,0,,
2025-09-15,100,2070333,1,0.03,
2025-09-16,38,740116,0,,
2025-09-17,44,863796,0,,
2025-09-18,46,867942,0,,
2025-09-19,31,648318,0,,
2025-09-20,97,1874375,1,0.03,超PayPay祭
2025-09-21,138,2644640,1,0.04,超PayPay祭
2025-09-22,103,2083321,1,0.03,超PayPay祭
2025-09-23,78,1418747,0,,超PayPay祭
2025-09-24,82,1571216,1,0.04,超PayPay祭
2025-09-25,152,3009926,1,0.04,超PayPay祭
2025-09-26,58,1101560,0,,
2025-09-27,51,1067374,0,,
2025-09-28,66,1301000,0,,
2025-09-29,48,913297,0,,
2025-09-30,63,1227318,0,,
2025-10-01,51,1040846,1,0.04,
2025-10-02,51,1025618,0,,
2025-10-03,51,1001652,0,,
2025-10-04,51,1137399,0,,
2025-10-05,121,2260700,1,0.02,プレミアムな日曜日
2025-10-06,31,631068,0,,
2025-10-07,42,841488,0,,
2025-10-08,53,1070592,0,,Yahoo!ショッピング感謝デー
2025-10-09,39,728049,0,,
2025-10-10,43,868754,0,,
2025-10-11,48,970778,0,,
2025-10-12,98,1671881,1,0.03,爆買いWEEK
2025-10-13,47,933377,0,,爆買いWEEK
2025-10-14,66,1300440,1,0.02,爆買いWEEK
2025-10-15,68,1306573,1,0.04,爆買いWEEK
2025-10-16,49,952657,0,,爆買いWEEK
2025-10-17,45,946175,0,,
2025-10-18,42,807250,0,,
2025-10-19,70,1411451,1,0.04,
2025-10-20,35,727952,0,,
2025-10-21,44,887875,0,,
2025-10-22,62,1286545,1,0.03,
2025-10-23,43,879919,0,,
2025-10-24,40,802298,0,,
2025-10-25,140,2982283,1,0.05,
2025-10-26,64,1304277,0,,
2025-10-27,57,1046670,0,,
2025-10-28,51,1048958,0,,
2025-10-29,48,951321,1,0.02,
2025-10-30,56,1141139,0,,
2025-10-31,50,1002881,0,,
2025-11-01,50,1001812,0,,
2025-11-02,98,1969358,1,0.04,プレミアムな日曜日
2025-11-03,41,792738,0,,
2025-11-04,45,893482,0,,
2025-11-05,93,1875997,1,0.05,
2025-11-06,35,663504,0,,
2025-11-07,40,777031,0,,
2025-11-08,68,1216845,0,,Yahoo!ショッピング感謝デー
2025-11-09,47,876521,0,,
2025-11-10,32,656145,0,,
2025-11-11,33,694410,0,,
2025-11-12,44,903655,0,,
2025-11-13,42,825024,0,,
2025-11-14,46,825130,0,,
2025-11-15,106,2214104,1,0.04,
2025-11-16,61,1146718,1,0.05,
2025-11-17,33,682290,1,0.02,
2025-11-18,35,712281,0,,
2025-11-19,40,716322,0,,
2025-11-20,48,942193,0,,
2025-11-21,43,887792,0,,
2025-11-22,61,1208632,0,,
2025-11-23,47,887628,0,,
2025-11-24,33,681562,0,,
2025-11-25,83,1701076,0,,
2025-11-26,56,1100279,1,0.02,
2025-11-27,63,1233208,0,,
2025-11-28,52,1036452,1,0.05,
2025-11-29,47,971776,0,,
2025-11-30,64,1285354,0,,
2025-12-01,50,1005223,0,,
2025-12-02,51,938760,0,,
2025-12-03,49,938214,0,,
2025-12-04,48,951511,0,,
2025-12-05,123,2448898,1,0.02,
2025-12-06,53,1108063,0,,
2025-12-07,105,2112514,1,0.04,プレミアムな日曜日
2025-12-08,57,1144769,0,,Yahoo!ショッピング感謝デー
2025-12-09,48,920590,0,,
2025-12-10,40,813275,0,,
2025-12-11,50,1013831,0,,
2025-12-12,59,1169499,0,,爆買いWEEK
2025-12-13,84,1604940,1,0.05,爆買いWEEK
2025-12-14,90,1685132,1,0.03,爆買いWEEK
2025-12-15,59,1135108,0,,爆買いWEEK
2025-12-16,69,1443622,1,0.03,爆買いWEEK
2025-12-17,41,868194,0,,
2025-12-18,37,794684,0,,
2025-12-19,49,940325,0,,
2025-12-20,133,2641158,1,0.04,超PayPay祭
2025-12-21,112,2100293,1,0.05,超PayPay祭
2025-12-22,92,1671600,1,0.03,超PayPay祭
2025-12-23,84,1728150,1,0.02,超PayPay祭
2025-12-24,63,1166050,0,,超PayPay祭
2025-12-25,142,2991984,1,0.04,超PayPay祭
2025-12-26,65,1240930,1,0.05,
2025-12-27,71,1398808,0,,
2025-12-28,69,1445731,0,,
2025-12-29,41,803200,0,,
2025-12-30,53,1087932,0,,
2025-12-31,54,1051290,1,0.03,
2026-01-01,48,950524,0,,
2026-01-02,39,767060,0,,
2026-01-03,61,1178369,0,,
2026-01-04,107,2176578,1,0.05,プレミアムな日曜日
2026-01-05,76,1648323,0,,
2026-01-06,33,670004,0,,
2026-01-07,39,776046,0,,
2026-01-08,57,1160742,1,0.05,Yahoo!ショッピング感謝デー
2026-01-09,44,786168,0,,
2026-01-10,50,1020052,0,,
2026-01-11,48,1000208,0,,
2026-01-12,47,928688,0,,
2026-01-13,39,791440,0,,
2026-01-14,37,641522,1,0.03,
2026-01-15,58,1228437,0,,
2026-01-16,37,707498,1,0.02,
2026-01-17,46,878019,0,,
2026-01-18,61,1142981,0,,
2026-01-19,34,653418,0,,
2026-01-20,38,718556,1,0.04,
2026-01-21,44,888875,0,,
2026-01-22,38,785721,0,,
2026-01-23,55,1128768,0,,
2026-01-24,47,951452,0,,
2026-01-25,166,3510904,1,0.05,
2026-01-26,59,1208779,0,,
2026-01-27,57,1213974,0,,
2026-01-28,68,1337427,0,,
2026-01-29,59,1163666,0,,
2026-01-30,57,1088798,0,,
2026-01-31,64,1367696,0,,
2026-02-01,100,1904792,1,0.05,プレミアムな日曜日
2026-02-02,43,861432,0,,
2026-02-03,45,869014,1,0.05,
2026-02-04,46,868955,0,,
2026-02-05,65,1411080,0,,
2026-02-06,41,741692,1,0.04,
2026-02-07,47,965654,1,0.02,
2026-02-08,90,1703145,1,0.03,Yahoo!ショッピング感謝デー
2026-02-09,37,781173,0,,
2026-02-10,42,874745,1,0.03,
2026-02-11,42,858296,0,,
2026-02-12,59,1347055,1,0.03,爆買いWEEK
2026-02-13,78,1553264,1,0.03,爆買いWEEK
2026-02-14,87,1816367,1,0.04,爆買いWEEK
2026-02-15,91,1739139,1,0.04,爆買いWEEK
2026-02-16,49,984448,0,,爆買いWEEK
2026-02-17,35,673380,0,,
2026-02-18,37,696077,1,0.04,
2026-02-19,43,805279,0,,
2026-02-20,37,738988,0,,
2026-02-21,44,849202,0,,
2026-02-22,52,960205,0,,
2026-02-23,36,762849,1,0.03,
2026-02-24,40,816564,1,0.03,
2026-02-25,120,2401811,1,0.04,
2026-02-26,62,1253888,0,,
2026-02-27,51,942764,0,,
2026-02-28,69,1398965,0,,
2026-03-01,104,2013865,1,0.05,プレミアムな日曜日
2026-03-02,42,858439,0,,
2026-03-03,49,930621,0,,
2026-03-04,55,1036436,0,,
2026-03-05,102,2306261,1,0.04,
2026-03-06,51,1080083,0,,
2026-03-07,55,1158930,1,0.04,
2026-03-08,85,1678312,1,0.02,Yahoo!ショッピング感謝デー
2026-03-09,50,1029836,0,,
2026-03-10,41,833333,0,,
2026-03-11,41,765003,0,,
2026-03-12,58,1161093,1,0.02,
2026-03-13,45,925659,0,,
2026-03-14,52,1018546,0,,
2026-03-15,99,1951321,1,0.02,
2026-03-16,40,769656,0,,
2026-03-17,42,780994,1,0.02,
2026-03-18,50,941403,1,0.05,
2026-03-19,53,1133628,0,,
2026-03-20,123,2813863,1,0.04,超PayPay祭
2026-03-21,109,2054427,1,0.04,超PayPay祭
2026-03-22,150,3107358,1,0.03,超PayPay祭
2026-03-23,87,1704445,1,0.03,超PayPay祭
2026-03-24,66,1276411,1,0.02,超PayPay祭
2026-03-25,110,2306516,1,0.02,超PayPay祭
2026-03-26,56,1074535,0,,
2026-03-27,61,1130974,1,0.03,
2026-03-28,78,1614532,1,0.03,
2026-03-29,73,1477314,0,,
2026-03-30,54,1080868,0,,
2026-03-31,51,1028555,1,0.02,
2026-04-01,52,1059890,1,0.05,
2026-04-02,67,1426949,0,,
2026-04-03,50,933860,0,,
2026-04-04,59,1117543,0,,
2026-04-05,93,1981327,1,0.02,プレミアムな日曜日
2026-04-06,44,806404,0,,
2026-04-07,41,800562,0,,
2026-04-08,46,872149,0,,Yahoo!ショッピング感謝デー
2026-04-09,46,972054,0,,
2026-04-10,39,805609,0,,
2026-04-11,46,861141,0,,
2026-04-12,70,1442226,1,0.03,爆買いWEEK
2026-04-13,68,1213212,1,0.02,爆買いWEEK
2026-04-14,63,1249032,1,0.02,爆買いWEEK
2026-04-15,82,1526993,1,0.04,爆買いWEEK
2026-04-16,65,1312073,1,0.04,爆買いWEEK
2026-04-17,40,765580,0,,
2026-04-18,52,1003491,0,,
2026-04-19,48,946479,0,,
2026-04-20,49,996553,1,0.05,
2026-04-21,41,816467,1,0.02,
2026-04-22,65,1248983,1,0.02,
2026-04-23,48,862525,0,,
2026-04-24,44,785972,0,,
2026-04-25,87,1633431,0,,
2026-04-26,50,980282,0,,
2026-04-27,52,1031498,0,,
2026-04-28,50,988353,0,,
2026-04-29,41,832015,0,,
2026-04-30,62,1335346,0,,
2026-05-01,63,1228933,0,,
2026-05-02,55,1036113,0,,
2026-05-03,77,1474129,0,,プレミアムな日曜日
2026-05-04,42,931907,0,,
2026-05-05,92,1857155,1,0.03,
2026-05-06,36,684856,0,,
2026-05-07,42,775589,0,,
2026-05-08,92,1782267,1,0.04,Yahoo!ショッピング感謝デー
2026-05-09,48,929872,0,,
2026-05-10,46,935432,0,,
2026-05-11,37,712430,0,,
2026-05-12,32,640751,0,,
2026-05-13,32,635175,0,,
2026-05-14,44,836717,0,,
2026-05-15,85,1626574,1,0.04,
2026-05-16,44,893125,0,,
2026-05-17,46,896931,0,,
2026-05-18,37,705197,1,0.04,
2026-05-19,40,802712,0,,
2026-05-20,41,793718,0,,
2026-05-21,41,799358,0,,
2026-05-22,47,947717,0,,
2026-05-23,63,1213552,0,,
2026-05-24,58,1107325,0,,
2026-05-25,115,2344187,1,0.02,
2026-05-26,40,851812,0,,
2026-05-27,46,1017295,0,,
2026-05-28,57,1059484,1,0.03,
2026-05-29,64,1336649,0,,
2026-05-30,54,1087187,0,,
2026-05-31,63,1268801,0,,
2026-06-01,42,790195,0,,
2026-06-02,41,801077,0,,
2026-06-03,41,872166,0,,
2026-06-04,54,1107043,0,,
2026-06-05,93,1924338,1,0.03,
2026-06-06,48,1000578,0,,
2026-06-07,86,1559134,1,0.03,プレミアムな日曜日
2026-06-08,56,1150462,1,0.02,Yahoo!ショッピング感謝デー
2026-06-09,40,805863,0,,
2026-06-10,34,662543,0,,
2026-06-11,44,749277,1,0.02,
2026-06-12,60,1195495,1,0.05,爆買いWEEK
2026-06-13,70,1317106,1,0.05,爆買いWEEK
2026-06-14,62,1302989,0,,爆買いWEEK
2026-06-15,74,1467054,1,0.04,爆買いWEEK
2026-06-16,54,1136616,1,0.04,爆買いWEEK
2026-06-17,36,750613,0,,
2026-06-18,35,700783,0,,
2026-06-19,40,828273,0,,
2026-06-20,110,1804430,1,0.02,超PayPay祭
2026-06-21,113,2415490,1,0.03,超PayPay祭
2026-06-22,86,1624522,1,0.02,超PayPay祭
2026-06-23,58,1146044,0,,超PayPay祭
2026-06-24,87,1729065,1,0.03,超PayPay祭
2026-06-25,119,2395673,1,0.02,超PayPay祭
2026-06-26,48,951115,0,,
2026-06-27,56,1186101,0,,
2026-06-28,60,1215385,0,,
2026-06-29,40,778057,0,,
2026-06-30,53,1037159,1,0.04,
2026-07-01,63,1222410,0,,
2026-07-02,59,1201789,0,,
2026-07-03,63,1225178,0,,
2026-07-04,44,860798,0,,
2026-07-05,117,2341367,1,0.03,プレミアムな日曜日
2026-07-06,42,838575,1,0.04,
2026-07-07,57,1159405,0,,
2026-07-08,85,1885253,1,0.05,Yahoo!ショッピング感謝デー
2026-07-09,39,789063,0,,
2026-07-10,49,1092983,0,,
2026-07-11,76,1583199,0,,
2026-07-12,73,1386701,0,,
2026-07-13,52,1042700,1,0.03,
2026-07-14,41,747423,1,0.02,
2026-07-15,70,1490645,0,,
2026-07-16,51,1056019,0,,
2026-07-17,43,826623,0,,
2026-07-18,68,1287411,1,0.05,
2026-07-19,61,1224826,1,0.03,
2026-07-20,51,985595,0,,
2026-07-21,38,716635,0,,
2026-07-22,58,1154378,0,,
2026-07-23,42,916659,1,0.05,
2026-07-24,47,869776,0,,
2026-07-25,101,2054468,0,,
2026-07-26,64,1262652,0,,
2026-07-27,60,1134028,1,0.02,
2026-07-28,65,1322691,1,0.03,
2026-07-29,57,1087484,0,,
2026-07-30,63,1285481,0,,
2026-07-31,75,1414881,0,,
2026-08-01,50,1005003,0,,
2026-08-02,105,2093504,0,,プレミアムな日曜日
2026-08-03,45,873316,0,,
2026-08-04,51,1006415,0,,
2026-08-05,66,1359329,0,,
2026-08-06,38,754155,0,,
2026-08-07,42,789519,0,,
2026-08-08,69,1416675,0,,Yahoo!ショッピング感謝デー
2026-08-09,52,961088,0,,
2026-08-10,42,807718,0,,
2026-08-11,47,850399,0,,
2026-08-12,56,1062032,0,,爆買いWEEK
2026-08-13,75,1467350,1,0.04,爆買いWEEK
2026-08-14,63,1331905,1,0.02,爆買いWEEK
2026-08-15,73,1478705,1,0.04,爆買いWEEK
2026-08-16,83,1818516,1,0.05,爆買いWEEK
2026-08-17,47,984690,0,,
2026-08-18,36,746632,1,0.03,
2026-08-19,37,694943,0,,
2026-08-20,56,1023257,1,0.02,
2026-08-21,53,1020571,0,,
2026-08-22,54,1107510,0,,
2026-08-23,63,1220667,0,,
